producto_codigo,producto_codigo_ministerio,producto_nombre,tippro_nombre,producto_fechacreacion,natcar_nombre,usuario_nombre
28,403,"SUERO DE MANTEQUILLA (DE MANTECA),  LECHE Y NATA (CREMA) CUAJADAS, YOGUR, KEFIR Y DEMAS LECHES Y NATAS (CREMAS) FERMENTADAS O ACIDIFICADAS,  INCLUSO CONCENTRADAS CON ADICION DE AZUCAR,  U OTRO EDULCORANTE,  AROMATIZADOS O CON FRUTAS U OTROS FRUTOS O CACAO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
29,404,"LACTOSUERO INCLUSO CONCENTRADO O CON ADICION DE AZUCAR U OTRO EDULCORANTE,  PRODUCTOS CONSTITUIDOS POR LOS COMPONENTES NATURALES DELA LECHE INCLUSO CON ADICION DE AZUCAR U OTRO EDULCORANTE,  NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
30,405,MANTEQUILLA (MANTECA) Y DEMAS MATERIAS GRASAS DE LA LECHE<:PASTAS LACTEAS PARA UNTAR,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
31,406,QUESOS Y REQUESON,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
32,407,"HUEVOS DE AVES CON CASCARA(CASCARON) FRESCOS,  CONSERVADOS O COCIDOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
33,408,"HUEVOS DE AVES SIN CASCARA (CASCARON) Y YEMAS DE HUEVOS FRESCOS, SECOS,  COCIDOS EN AGUA O VAPOR,  MOLDEADOS, CONGELADOS O CONSERVADOS DE OTRO MODO,  INCLUSO CON ADICION DE AZUCAR OEDULCORANTES.",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
34,409,MIEL NATURAL,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
35,410,PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
36,501,"CABELLO EN BRUTO, ICLUSO LAVADO O DESGRASADO,  DESPERDICIOS DE CABELLO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
37,502,"CERDAS DE CERDO O DE JABALI, PELO DE TEJON Y DEMAS PELOS DE CEPILLERIA, DESPERDICIOS DE DICHAS CERDAS O PELOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
38,503,"CRIN Y SUS DESPERDICIOS, INCLUOS EN CAPAS CON SOPORTE O SIN EL",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
39,504,"TRIPAS, VEJIGAS Y ESTOMAGOS DE ANIMALES, EXCEPTO LOS DE PESCADO, ENTEROS O EN TROZOS, FRESCOS.REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
40,505,"PIELES Y DEMAS PARTES DE AVE CON PLUMAS O SU PLUMON. PLUMAS Y PARTES DE PLUMAS(INCLUSO RECORTADAS) Y PLUMON EN BRUTO O SIMPLEMENTE LIMPIADOS O DESINFECTADOS O PREPARADOS PARA SU CONSERVACION, POLVO O DESPERDICIOS DE PLUMAS O DE PARTES DE PLUMAS.",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
41,506,"HUESOS Y NUCLEOS CORNEOS ENBRUTO DESGRASADOS, SIMPLEMENTE PREPARADOS (PERO SIN CORTAR EN FORMA DETERMINADA) ACIDULADOS DESGELATINADOS, POLVO O DESPERDICIOS DE ESTAS MATERIAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
42,507,"MARFIL, CONCHA(CARAPAZON) DE TORTUGA, BALLENAS DE MAMIFEROS MARINOS (INCLUIDAS LAS BARBAS), CUERNOS, ASTAS, CASCOS, PEZU?AS, U?AS, GARRAS Y PICOS EN BRUTO O SIMPLEMENTE PREPARADOS,  PERO SIN CORTAR EN FORMAS DETERMINADAS, POLVO Y DESPERDICIOS DE ESTAS MATERIAS.",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
43,508,"CORAL Y MATERIAS SIMILARES EN BRUTO O SIMPLEMENTE PREPARADAS, PERO SIN OTRO TRABAJO, VALVAS Y CAPARAZONES DE MOLUSCOS, CRUSTACEOS O EQUINODERMOS Y JIBIONES,  EN BRUTO O SIMPLEMENTE PREPARADOS,  PERO SIN CORTAR EN FORMA DETERMINADA, SUS POLVOS Y DESPERDICIOS.",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
44,509,ESPONJAS NATURALES DE ORIGEN ANIMAL,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
45,510,"AMBAR GRIS, CASTOREO, ANGALIA Y ALMIZCLE, CANTARIDAS, BILIS, INCLUSO DESECADA, GLANDULAS Y DEMAS SUSTANCIAS DE ORIGEN ANIMAL UTILIZADAS PARA LA PREPARACION DE PRODUCTOS FARMACEUTICOS FRESACAS, REFRIGERADAS, CONGELADAS O CONSERVADAS PROVISIONALMENTE DE OTRA FORMA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
46,511,"PRODUCTOS DE ORIGEN ANIMAL NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE,  ANIMALES MUERTOS DE LOS CAPITULOS 1 O 3,  IMPROPIOS PARA LA ALIMENTACION HUMANA.",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
47,601,"BULBOS, CEBOLLAS, TUBERCULOS, RAICES Y BULBOS TUBEROSOS, TURIONES O RIZOMAS,  EN REPOSO VEGETATIVO,  EN VEGETACION O EN FLOR, PLANTA Y RAICES DE ACHICORIA, EXCEPTO LAS RAICES DE LA PARTIDA 12.12",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
48,602,"LAS DEMAS PLANTAS VIVAS(INCLUIDAS SUS RAICES) ESQUEJES E INJERTOS,  BLANCO DE SETAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
49,603,"FLORES Y CAPULLOS, CORTADOS PARA RAMOS O ADORNOS, FRESCOS, SECOS, BLANQUEADOS, TE?IDOS, IMPREGNADOS O PREPARADOS DE OTRA FORMA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
50,604,"FOLLAJES, HAJAS, RAMAS Y DEMAS PARTES DE PLANTAS SIN FLORES NI CAPULLOS,  Y HIERBAS, MUSGOS, LIQUENES PARA RAMOS O ADORNOS FRESCOS, SECOS, BLANQUEADOS, TE?IDOS E IMPREGNADOS O PREPARADOS DE OTRA FORMA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
51,701,PATATAS (PAPAS) FRESCAS O REFRIGERADAS,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
52,702,TOMATES FRESCOS O REFRIGERADOS,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
53,703,"CEBOLLAS,  CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS(INCLUSO SILVESTRES) ALIACEAS, FRESCAS O REFRIGERADAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
54,704,"COLES INCLUIDOS LOS REPOLLOS, COLIFLORES, COLES RIZADAS, COLINABOS Y PRODUCTOS COMESTIBLES SIMILARES DEL GENERO, BRASICA,  FRESCOS O REFRIGERADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
55,705,"LECHUGA(LACTUCA SATIVA) Y ACHICORIAS, COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA FRESCAS O REFRIGERADAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
56,706,"ZANAHORIAS, NABOS, REMOLACHAS PARA ENSALADAS, SALDIFIES, APIONABOS, RABANOS Y RAICES COMESTIBLES SIMILARES,  FRESCOS O REFRIGERADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
57,707,PEPINOS Y PEPINILLOS FRESCOS O REFRIGERADOS,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
58,708,"HORTALIZAS(INCLUSO SILVESTRES) DE VAINA,  AUNQUE ESTEN DESVAINADAS,  FRESCAS O REFRIGERADAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
59,709,LAS DEMAS HORTALIZAS (INCLUSO SILVESTRES) FRESCAS O REFRIGERADAS,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
60,710,"HORTALIZAS (INCLUSO SILVESTRES),  AUNQUE ESTEN COCIDAS EN AGUA O VAPOR, CONGELADAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
61,711,"HORTALIZAS (INCLUOS SILVESTRES) CONSERVADAS PROVISIONALEMENTE(CON GAS SULFFUROSO O CON AGUA SALADA),  PERO TODAVIA IMPROPIAS PARA CONSUMO INMEDIATO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
62,712,"HORTALIZAS(INCLUSO SILVESTRES) SECAS, BIEN CORTADS EN TROZOS O EN RODAJAS O BIENTRITURADAS O PULVERIZADAS,  PERO SIN OTRA PREPARACION",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
63,713,"HORTALIZAS (INCLUSO SILVESTRES),  DE VAINA SECAS DESVAINADAS AUNQUE ESTEN MONDADAS O PARTIDAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
64,714,"RAICES DE MANDIOCA (YUCA), ARRURRUZ O SALEP, AGUATURMAS(PATACAS), BATATAS (BONIATOS, CAMOTES) Y RAICES TUBERCULOS SIMILARES RICOS EN FECULAS O INULINA, FRESCOS, REFRIGERADOS, CONGELADOS O SECOS INCLUSO TROCEADOS O EN PELLETS,  MEDULA DE SAGU.",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
65,801,"COCOS, NUECES DEL BRAZIL Y NUECES DE MARA?ON,  FRESCOS O SECOS,  INCLUSO CON CASCARA O MONDADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
66,802,"LOS DEMAS FRUTOS DE CASCARA FRESCOS O SECOS, INCLUSO SIN CASCARA O MONDADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
67,803,BANANAS O PLATANOS FRESCOS O SECOS,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
68,804,"DATILES, HIGOS, PI?AS TROPICALES8ANANAS), AGUACATES(PALTAS), GUAYABAS, MANGOS Y MANGOSTANES FRESCOS O SECOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
69,805,AGRIOS (CITRICOS) FRESCOS O SECOS,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
70,806,"UVAS FRESCAS O SECAS, INCLUIDAS LAS PASAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
71,807,"MELONES, SANDIAS Y PAPAYAS FRESCOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
72,808,"MANZANAS, PERAS,  Y MENBRILLOS FRESCOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
73,809,"ALBARICOQUES(DAMASCOS, CHABACANOS), CEREZAS, MELOCOTONES(DURAZNOS), (INCLUIDOS LOS GRI?ONES Y NECTARINAS), CIRUELAS Y ENDRINAS FRESCOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
74,810,LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
75,811,"FRUTAS Y OTROS FRUTOS,  SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, INCLUSO CON ADICION DE AZUCAR U OTRO EDULCORANTE",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
76,812,"FRUTAS Y OTROS FRUTOS, CONSERVADOS PROVISIONALMENTE CON GAS SULFUROSO O CON AGUA SALADA,  PERO TADAVIA IMPROPIOS PARA CONSUMO INMEDIATO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
77,813,"FRUTOS Y OTROS FRUTOS SECOS,  EXCEPTO LOS DE LAS PARTIDAS 0 8.0 1 A 0 8.0 6",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
78,814,"CORTEZAS DE AGRIOS(CITRICOS), MELONES, SANDIAS FRESCAS,  CONGELADAS, SECAS O PRESENATDAS EN AGUA SALADA O SULFOROSA O ADICIONADA OTRAS SUSTANCIAS PARA SU CONSERVACION",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
79,901,"CAFE,  INCLUSO TOSTADO O DESCAFEINADO, CASCARA O CASCARILLA DE CAFE, SUCEDANEOS DEL CAFE QUE CONTENGAN CAFE EN CUALQUIER PROPORSION",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
80,902,"TE,  INCLUSO AROMATIZADO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
81,903,YERBAMATE,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
82,904,"PIMIENTA SECOS, TRITURADOS O PULVERIZADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
83,905,VAINILLA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
84,906,CANELA Y FLORES DEL CANELERO,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
85,907,CLAVO(FRUTOS CLAVILLOS Y PEDUNCULOS),MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
86,908,"NUEZ MOSCADA, MACIS, AMOMOS Y CARDAMOMOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
87,909,"SEMILLAS DE ANIS, BADIANA, HINOJO, CILANTRO, COMINO O ALCARAVEA, BAYAS DE ENEBRO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
88,910,"JENGIBRE, AZAFRAN, CURCUMA, TOMILLO, HOJAS DE LAUREL, CURRY Y DEMAS ESPECIAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
89,1001,TRIGO Y MORCAJO O TRANQUILLON,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
90,1002,CENTENO,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
91,1003,CEBADA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
92,1004,AVENA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
93,1005,MAIZ,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
94,1006,ARROZ,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
95,1007,SORGO DE GRANO,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
96,1008,"ALFORFON,  MIJO Y ALPISTE. LOS DEMAS CEREALES",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
97,1101,HARINA DE TRIGO O MORCAJO,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
98,1102,"HARINA DE CEREALES,  EXCEPTO DE TRIGO O DE MORCAJO O TRANQUILLON",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
99,1103,"GRA?ONES,  SEMOLA Y <PELLETS>,  DE CEREALES",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
100,1104,"GRANOS DE CEREALES TRABAJADOS DE OTRA FORMA (POR EJEMPLO MONDADOS,  APLASTADOS,  EN COPOS,  PERLADOS,  TROCEADOS O TRITURADOS),  CON EXCEPCION DEL ARROZ DE LA PARTIDA 1006. GERMEN DE CEREALES ENTERO,  APLASTADO,  EN COPOS O MOLIDO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
101,1105,"HARINA,  SEMOLA,  POLVO,  COPOS,  GRANULOS Y <PELLETS> DE PATATAS (PAPAS)",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
102,1106,"HARINA,  SEMOLA Y POLVO DE LAS LEGUMBRES SECAS DE LA PARTIDA 0713,  DE SAGU O DE LAS RAICES O TUBERCULOS DE LA PARTIDA 0714 O DE LOS PRODUCTOS DEL CAPITULO 8",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
103,1107,MALTA (DE CEBADA U OTROS CEREALES) INCLUSO TOSTADA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
104,1108,ALMIDON Y FECULA. INULINA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
105,1109,"GLUTEN DE TRIGO,  INCLUSO SECO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
106,1201,"HABAS(POROTOS, FRIJOLES) DE SOJA (SOYA) INCLUSO QUEBRANTADAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
107,1202,"CACAHUATES (MANI) SIN TOSTAR NI COCER DE OTRO MODO, INCLUSO SIN CASCARA O QUEBRANTADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
